[(0,"NAME"),(0,"OCCUPATION"),(0,"COUNTRY"),(0,"EST_IQ_SCORE")]
[(1,"Abraham Lincoln"),(1,"politician"),(1,"USA"),(1,"128")]
[(2,"Adolf Hitler"),(2,"politician"),(2,"Germany"),(2,"141")]
[(3,"Al Gore"),(3,"politician"),(3,"USA"),(3,"134")]
[(4,"Albert Einstein"),(4,"scientist"),(4,"USA"),(4,"160")]
[(5,"Albrecht von Haller"),(5,"scientist"),(5,"Switzerland"),(5,"190")]
[(6,"Alexander Pope"),(6,"writer"),(6,"England"),(6,"180")]
[(7,"Sir Andrew J Wiles"),(7,"scientist"),(7,"England"),(7,"170")]
[(8,"Andrew Jackson"),(8,"politician"),(8,"USA"),(8,"123")]
[(9,"Andy Warhol"),(9,"artist"),(9,"USA"),(9,"86")]
[(10,"Anthonis van Dyck"),(10,"artist"),(10,"Dutch"),(10,"155")]
[(11,"Antoine Arnauld"),(11,"philosopher"),(11,"France"),(11,"190")]
[(12,"Arne Beurling"),(12,"scientist"),(12,"Sweden"),(12,"180")]
[(13,"Arnold Schwarzenegger"),(13,"politician"),(13,"Austrian"),(13,"135")]
[(14,"Baruch Spinoza"),(14,"philosopher"),(14,"Holland"),(14,"175")]
[(15,"Benjamin Franklin"),(15,"politician"),(15,"USA"),(15,"160")]
[(16,"Benjamin Netanyahu"),(16,"politician"),(16,"Israel"),(16,"180")]
[(17,"Bill Gates"),(17,"businessman"),(17,"USA"),(17,"160")]
[(18,"William Jefferson Clinton"),(18,"politician"),(18,"USA"),(18,"137")]
[(19,"Blaise Pascal"),(19,"scientist"),(19,"France"),(19,"195")]
[(20,"Bobby Fischer"),(20,"chessplayer"),(20,"USA"),(20,"187")]
[(21,"Buonarroti Michelangelo"),(21,"artist"),(21,"Italy"),(21,"180")]
[(22,"Carl von Linn"),(22,"scientist"),(22,"Sweden"),(22,"165")]
[(23,"Charles Darwin"),(23,"scientist"),(23,"England"),(23,"165")]
[(24,"Charles Dickens"),(24,"writer"),(24,"England"),(24,"180")]
[(25,"Christopher Michael Langan"),(25,"bouncer"),(25,"USA"),(25,"195")]
[(26,"Sir Clive Sinclair"),(26,"scientist"),(26,"England"),(26,"159")]
[(27,"David Hume"),(27,"philosopher"),(27,"Scotland"),(27,"180")]
[(28,"Dr David Livingstone"),(28,"explorer"),(28,"Scotland"),(28,"170")]
[(29,"Donald Byrne"),(29,"chessplayer"),(29,"Irland"),(29,"170")]
[(30,"Emanuel Swedenborg"),(30,"philosopher"),(30,"Sweden"),(30,"205")]
[(31,"Sir Francis Galton"),(31,"scientist"),(31,"British"),(31,"200")]
[(32,"Friedrich Wilhelm Joseph von Schelling"),(32,"philosopher"),(32,"Germany"),(32,"190")]
[(33,"Galileo Galilei"),(33,"scientist"),(33,"Italy"),(33,"185")]
[(34,"Geena Elizabeth Davis"),(34,"entertainer"),(34,"USA"),(34,"140")]
[(35,"Georg Friedrich Handel"),(35,"composer"),(35,"Germany"),(35,"170")]
[(36,"George Wilhelm Friedrich Hegel"),(36,"philosopher"),(36,"Germany"),(36,"165")]
[(37,"George Berkeley"),(37,"philosopher"),(37,"Ireland"),(37,"190")]
[(38,"George H Choueiri"),(38,"businessman"),(38,"Lebanon"),(38,"195")]
[(39,"Mary Ann Evans"),(39,"writer"),(39,"England"),(39,"160")]
[(40,"George Sand "),(40,"writer"),(40,"France"),(40,"150")]
[(41,"George Walker Bush"),(41,"politician"),(41,"USA"),(41,"125")]
[(42,"George Washington"),(42,"politician"),(42,"USA"),(42,"118")]
[(43,"Gottfried Wilhelm von Leibniz"),(43,"philosopher"),(43,"Germany"),(43,"205")]
[(44,"Hans Dolph Lundgren"),(44,"entertainer"),(44,"Sweden"),(44,"160")]
[(45,"Hans Christian Andersen"),(45,"writer"),(45,"Denmark"),(45,"145")]
[(46,"Hillary Diane Rodham Clinton"),(46,"politician"),(46,"USA"),(46,"140")]
[(47,"Hjalmar Horace Greeley Schacht"),(47,"politician"),(47,"Germany"),(47,"143")]
[(48,"Honore de Balzac"),(48,"writer"),(48,"France"),(48,"155")]
[(49,"Hugo Grotius"),(49,"jurist"),(49,"Holland"),(49,"200")]
[(50,"Hypatia of Alexandria"),(50,"philosopher"),(50,"Alexandria"),(50,"170")]
[(51,"Immanuel Kant"),(51,"philosopher"),(51,"Germany"),(51,"175")]
[(52,"Sir Isaac Newton"),(52,"scientist"),(52,"England"),(52,"190")]
[(53,"Jakob Ludwig Felix Mendelssohn Bartholdy"),(53,"composer"),(53,"Germany"),(53,"165")]
[(54,"James Cook"),(54,"Explorer"),(54,"England"),(54,"160")]
[(55,"James Watt"),(55,"scientist"),(55,"Scotland"),(55,"165")]
[(56,"James Howard Woods"),(56,"entertainer"),(56,"USA"),(56,"180")]
[(57,"Jayne Mansfield"),(57,""),(57,"USA"),(57,"149")]
[(58,"Jean Marie Auel"),(58,"writer"),(58,"Finland"),(58,"140")]
[(59,"Jodie Foster"),(59,"entertainer"),(59,"USA"),(59,"132")]
[(60,"Johann Sebastian Bach"),(60,"composer"),(60,"Germany"),(60,"165")]
[(61,"Johann Strauss"),(61,"composer"),(61,"Germany"),(61,"170")]
[(62,"Johann Wolfgang von Goethe"),(62,""),(62,"Germany"),(62,"210")]
[(63,"Johannes Kepler"),(63,"scientist"),(63,"Germany"),(63,"175")]
[(64,"John Adams"),(64,"politician"),(64,"USA"),(64,"137")]
[(65,"John F Kennedy"),(65,"politician"),(65,"USA"),(65,"117")]
[(66,"John H Sununu"),(66,"politician"),(66,"USA"),(66,"180")]
[(67,"John Quincy Adams"),(67,"politician"),(67,"USA"),(67,"153")]
[(68,"John Stuart Mill"),(68,"philosopher"),(68,"England"),(68,"200")]
[(69,"JohnLocke"),(69,"philosopher"),(69,"England"),(69,"165")]
[(70,"Jola Sigmond"),(70,"teacher"),(70,"Sweden"),(70,"161")]
[(71,"Jonathan Swift"),(71,"Writer"),(71,"England"),(71,"155")]
[(72,"Joseph Haydn"),(72,"composer"),(72,"Austria"),(72,"160")]
[(73,"Joseph Louis Lagrange"),(73,"scientist"),(73,"France"),(73,"185")]
[(74,"Judith Polgar"),(74,"chessplayer"),(74,"Hungary"),(74,"170")]
[(75,"Kim Ung-Yong"),(75,""),(75,"Korea"),(75,"200")]
[(76,"Kimovitch Garry Kasparov"),(76,"chessplayer"),(76,"Russia"),(76,"190")]
[(77,"Leonardo da Vinci"),(77,"scientist"),(77,"Italy"),(77,"220")]
[(78,"Lord Byron"),(78,"writer"),(78,"England"),(78,"180")]
[(79,"Louis Napoleon Bonaparte"),(79,"politician"),(79,"France"),(79,"145")]
[(80,"Ludwig van Beethoven"),(80,"composer"),(80,"Germany"),(80,"165")]
[(81,"Ludwig Wittgenstein"),(81,"philosopher"),(81,"Austria"),(81,"190")]
[(82,"Madame de Stael"),(82,"writer"),(82,"France"),(82,"180")]
[(83,"Madonna"),(83,"entertainer"),(83,"USA"),(83,"140")]
[(84,"Marilyn vos Savant"),(84,"writer"),(84,"USA"),(84,"186")]
[(85,"Martin Luther"),(85,"philosopher"),(85,"Germany"),(85,"170")]
[(86,"Miguel de Cervantes"),(86,"writer"),(86,"Spain"),(86,"155")]
[(87,"Nicolaus Copernicus"),(87,"scientist"),(87,"Poland"),(87,"160")]
[(88,"Nicole Kidman"),(88,"entertainer"),(88,"USA"),(88,"132")]
[(89,"Paul Allen"),(89,"businessman"),(89,"USA"),(89,"160")]
[(90,"Philip Emeagwali"),(90,"scientist"),(90,"Nigeria"),(90,"190")]
[(91,"Phillipp Melanchthon"),(91,"philosopher"),(91,"Germany"),(91,"190")]
[(92,"PierreSimon de Laplace"),(92,"scientist"),(92,"France"),(92,"190")]
[(93,"Plato"),(93,"philosopher"),(93,"Greece"),(93,"170")]
[(94,"Ralph Waldo Emerson"),(94,"writer"),(94,"USA"),(94,"155")]
[(95,"Raphael"),(95,"artist"),(95,"Italy"),(95,"170")]
[(96,"Rembrandt van Rijn"),(96,"artist"),(96,"Holland"),(96,"155")]
[(97,"Ren Descartes"),(97,"philosopher"),(97,"France"),(97,"185")]
[(98,"Richard Nixon"),(98,"politician"),(98,"USA"),(98,"143")]
[(99,"Richard Wagner"),(99,"composer"),(99,"Germany"),(99,"170")]
[(100,"Robert Byrne"),(100,"chessplayer"),(100,"Irland"),(100,"170")]
[(101,"Rousseau"),(101,"writer"),(101,"France"),(101,"150")]
[(102,"Sarpi"),(102,"philosopher"),(102,"Italy"),(102,"195")]
[(103,"Shakira"),(103,"entertainer"),(103,"Colombia"),(103,"140")]
[(104,"Sharon Stone"),(104,"entertainer"),(104,"USA"),(104,"154")]
